RecordID,SatelliteName,Country,OrbitType,ObjectType,LaunchYear,LaunchSite,Longitude,AvgLongitude,Geohash,DaysOld,ConjunctionCount,StillInOrbit,RiskLevel
10096,SL-14 R/B,CIS,LEO,ROCKET BODY,1977,PKMTR,-70.94856912,-45.06140362,"62.925556,0,17390,true,Moderate
10436,COSMOS 839 DEB,CIS,LEO,DEBRIS,1976,PKMTR,29.39840935,-32.93402367,"62.925556,0,17741,true,High
11888,SL-6 R/B(2),CIS,HEO,ROCKET BODY,1980,PKMTR,126.9150131,-19.61821317,"62.925556,0,16286,true,High
12529,DELTA 1 DEB,US,LEO,DEBRIS,1976,AFWTR,-49.97556469,63.24844584,"34.742221,0,17720,true,High
13610,SL-12 R/B(2),CIS,MEO,ROCKET BODY,1982,TTMTR,85.4247124,128.2572213,"45.965,0,15454,true,Moderate
18634,SL-12 R/B(2),CIS,GEO,ROCKET BODY,1987,TTMTR,-84.0285869,-45.40569888,"45.965,0,13569,true,Moderate
21249,SL-8 DEB,CIS,LEO,DEBRIS,1991,PKMTR,-162.5254582,-98.07395074,"62.925556,0,12409,true,High
23097,USA 103,US,Unknown Orbit Category,PAYLOAD,1994,AFETR,0.0,0.0,"28.4917337,0,11233,false,Low
26005,SL-14 DEB,CIS,LEO,DEBRIS,1991,PKMTR,9.339711283,22.61155748,"62.925556,0,12181,true,Moderate
28158,USA 176,US,GEO,PAYLOAD,2004,AFETR,87.91604609,87.1905644,"28.4917337,0,7659,true,Low
28473,ATLAS 5 CENTAUR R/B,US,HEO,ROCKET BODY,2004,AFETR,58.82236332,165.8841282,"28.4917337,0,7352,true,High
29210,SCOUT G-1 DEB,US,LEO,DEBRIS,1987,AFWTR,0.0,0.0,"34.742221,0,13654,false,Low
29539,CZ-4B DEB,PRC,LEO,DEBRIS,2006,TSC,26.25180283,127.1089658,"38.849086,0,6857,true,High
31518,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,0.0,0.0,"38.849086,0,9400,false,Low
32558,DELTA 4H DEB,US,Unknown Orbit Category,DEBRIS,2007,AFETR,0.0,0.0,"28.4917337,0,6293,false,Low
35350,PSLV DEB,IND,LEO,DEBRIS,2001,SRI,-19.90037801,94.22048479,"13.7178,0,8504,true,High
35670,COSMOS 2251 DEB,CIS,LEO,DEBRIS,1993,PKMTR,39.99585443,50.95457541,"62.925556,0,11554,true,Moderate
39350,CZ-3C DEB,PRC,HEO,DEBRIS,2010,XSC,-133.5762562,-101.9103117,"28.246017,0,5208,true,Moderate
39645,COSMOS 1867 COOLANT,CIS,LEO,DEBRIS,1987,TTMTR,142.5517496,26.19027854,"45.965,0,13722,true,High
46525,FREGAT DEB,CIS,LEO,DEBRIS,2011,TTMTR,0.0,0.0,"45.965,0,4948,false,Low
47437,OBJECT AA,TBD,LEO,UNKNOWN,2021,AFETR,30.6140765,-104.5134819,"28.4917337,0,1470,true,High
47880,STARLINK-2337,US,LEO,PAYLOAD,2021,AFETR,-175.0260674,-130.5323513,"28.4917337,0,1421,true,Moderate
47960,OBJECT AE,TBD,LEO,UNKNOWN,2021,TTMTR,50.38528302,160.6917475,"45.965,0,1413,true,High
4821,THORAD AGENA D DEB,US,LEO,DEBRIS,1970,AFWTR,178.2103203,-72.04940003,"34.742221,0,20024,true,High
48370,STARLINK-2621,US,LEO,PAYLOAD,2021,AFETR,54.79928555,104.1870379,"28.4917337,0,1370,true,Moderate
50802,COSMOS 2499 DEB,CIS,LEO,DEBRIS,2014,PKMTR,0.0,84.37778856,"62.925556,0,3908,false,High
54008,STARLINK-5145,US,LEO,PAYLOAD,2022,AFWTR,-125.2902531,-84.74276614,"34.742221,0,851,true,Moderate
55658,STARLINK-5307,US,LEO,PAYLOAD,2023,AFWTR,67.76143206,168.1115426,"34.742221,0,716,true,High
57868,STARLINK-30442,US,LEO,PAYLOAD,2023,AFETR,-157.9895996,164.4697541,"28.4917337,0,505,true,High
58185,STARLINK-30793,US,LEO,PAYLOAD,2023,AFETR,80.02257341,42.16781126,"28.4917337,0,461,true,Moderate
58197,STARLINK-30762,US,LEO,PAYLOAD,2023,AFETR,5.836206465,-24.70640827,"28.4917337,0,461,true,Moderate
59891,STARLINK-31949,US,LEO,PAYLOAD,2024,AFETR,-144.493079,-85.3865632,"28.4917337,0,250,true,High
60053,STARLINK-31793,US,LEO,PAYLOAD,2024,AFWTR,122.6518987,134.572758,"34.742221,0,239,true,Moderate
60336,STARLINK-32079,US,LEO,PAYLOAD,2024,AFETR,35.74144473,162.2770626,"28.4917337,0,184,true,High
61354,CZ-6A DEB,PRC,LEO,DEBRIS,2024,TSC,0.0,32.2282236,"38.849086,0,180,false,Moderate
61819,CZ-6A DEB,PRC,LEO,DEBRIS,2024,TSC,0.0,22.59503966,"38.849086,0,180,false,Moderate
12542,DELTA 1 DEB,US,LEO,DEBRIS,1976,AFWTR,-32.49004766,127.1862917,"34.742221,0,17720,true,High
19919,TELE-X,SWED,GEO,PAYLOAD,1989,FRGUI,-11.55953354,63.57869112,"5.222222,0,13090,true,High
21453,DELTA 1 DEB,US,LEO,DEBRIS,1975,AFWTR,136.6945894,-145.4078904,"34.742221,0,18133,true,High
23479,SL-19 DEB,CIS,LEO,DEBRIS,1994,TTMTR,164.320848,35.19114769,"45.965,0,10996,true,High
26222,CZ-4 DEB,PRC,LEO,DEBRIS,1999,TSC,-158.5481305,-177.5567996,"38.849086,0,9243,true,Moderate
27729,DELTA 1 DEB,US,LEO,DEBRIS,1977,AFETR,156.6135471,-46.53318009,"28.4917337,0,17370,true,High
28039,ARIANE 44L DEB,FR,HEO,DEBRIS,1991,FRGUI,-109.6053068,33.16837829,"5.222222,0,12437,true,High
28463,EXPRESS AM-1,CIS,GEO,PAYLOAD,2004,TTMTR,-94.42661696,-8.289916995,"45.965,0,7401,true,High
28500,DELTA 4 DEMO SPACECRAFT,US,HEO,PAYLOAD,2004,AFETR,-90.92001924,-107.0065548,"28.4917337,0,7348,true,Moderate
30750,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,-131.0859727,149.0198411,"38.849086,0,9400,true,High
38296,CZ-4C DEB,PRC,LEO,DEBRIS,2010,TSC,-91.65614593,-30.67934984,"38.849086,0,5204,true,High
38339,SDS-4,JPN,LEO,PAYLOAD,2012,TNSTA,-118.4285304,-156.3827341,"30.4,0,4644,true,Moderate
38576,BREEZE-M DEB,CIS,HEO,DEBRIS,2008,TTMTR,-26.56226664,-78.82274015,"45.965,0,6169,true,High
39840,SL-8 DEB,CIS,LEO,DEBRIS,1991,PKMTR,-170.9526895,-112.6118862,"62.925556,0,12409,true,High
41009,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,0.0,0.0,"38.849086,0,9400,false,Low
41262,NOAA 16 DEB,US,LEO,DEBRIS,2000,AFWTR,-19.50160663,-11.56501484,"34.742221,0,8900,true,Low
41280,NOAA 16 DEB,US,LEO,DEBRIS,2000,AFWTR,65.61059708,132.8474932,"34.742221,0,8900,true,High
43341,ATLAS CENTAUR R/B,US,GEO,ROCKET BODY,2018,AFETR,38.14259351,84.15165002,"28.4917337,0,2486,true,Moderate
50832,STARLINK-3328,US,LEO,PAYLOAD,2022,AFETR,-96.4676708,-51.76946262,"28.4917337,0,1123,true,Moderate
52828,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2014,AFETR,-17.6569177,1.314486171,"28.4917337,0,3791,true,Moderate
54073,STARLINK-5146,US,LEO,PAYLOAD,2022,AFETR,52.42228448,90.50712054,"28.4917337,0,836,true,Moderate
55520,CZ-6A DEB,PRC,LEO,DEBRIS,2022,TSC,-18.74394719,115.2530708,"38.849086,0,814,true,High
55551,CZ-6A DEB,PRC,LEO,DEBRIS,2022,TSC,-1.727916014,120.2147444,"38.849086,0,814,true,High
56081,ONEWEB-0718,UK,LEO,PAYLOAD,2023,SRI,131.0707599,-153.338966,"13.7178,0,679,true,High
56199,TOMORROW-R1,US,LEO,PAYLOAD,2023,AFWTR,-120.700056,-22.74951888,"34.742221,0,659,true,High
56505,STARLINK-5763,US,LEO,PAYLOAD,2023,AFETR,-80.05460785,-112.9794017,"28.4917337,0,630,true,Moderate
56539,STARLINK-6135,US,LEO,PAYLOAD,2023,AFETR,57.24594234,27.0931473,"28.4917337,0,630,true,Moderate
59264,STARLINK-31645,US,LEO,PAYLOAD,2024,AFWTR,-81.83593899,45.13710618,"34.742221,0,320,true,High
60427,STARLINK-32254,US,LEO,PAYLOAD,2024,AFETR,33.39756741,103.3621661,"28.4917337,0,174,true,High
6797,ATLAS CENTAUR R/B,US,HEO,ROCKET BODY,1973,AFETR,20.97300115,81.57245387,"28.4917337,0,18791,true,High
10730,DELTA 1 DEB,US,LEO,DEBRIS,1975,AFWTR,-27.86336164,-80.3044203,"34.742221,0,18197,true,High
11667,COSMOS 1150,CIS,LEO,PAYLOAD,1980,PKMTR,-81.82233708,-27.85498603,"62.925556,0,16456,true,High
13460,COSMOS 1275 DEB,CIS,LEO,DEBRIS,1981,PKMTR,164.0172556,-50.78371491,"62.925556,0,15949,true,High
18570,TVSAT 1,GER,GEO,PAYLOAD,1987,FRGUI,63.71398965,-11.48180431,"5.222222,0,13588,true,High
20626,SL-16 DEB,CIS,LEO,DEBRIS,1990,TTMTR,73.31951716,-41.96560243,"45.965,0,12675,true,High
26958,PROBA 1,ESA,LEO,PAYLOAD,2001,SRI,148.3234088,-90.27827265,"13.7178,0,8504,true,High
2700,DELTA 1 DEB,US,LEO,DEBRIS,1965,AFETR,69.41702735,102.4315405,"28.4917337,0,21638,true,Moderate
27775,COSMOS 2397,CIS,GEO,PAYLOAD,2003,TTMTR,-163.2058068,-40.55966406,"45.965,0,7955,true,High
29301,METEOR 2-17 DEB,CIS,LEO,DEBRIS,1988,PKMTR,-141.5791444,53.88615572,"62.925556,0,13518,true,High
29922,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,-21.84739066,-42.29037244,"38.849086,0,9400,true,Moderate
30005,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,132.5500054,-71.52760996,"38.849086,0,9400,true,High
30155,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,-137.886235,31.22346425,"38.849086,0,9400,true,High
32119,FENGYUN 1C DEB,PRC,LEO,DEBRIS,1999,TSC,156.1541958,-76.53691091,"38.849086,0,9400,true,High
33558,ARIANE 2 DEB,FR,HEO,DEBRIS,1989,FRGUI,-166.7406377,133.0162242,"5.222222,0,13155,true,High
33776,IRIDIUM 33 DEB,US,LEO,DEBRIS,1997,TTMTR,-161.531332,-162.0095456,"45.965,0,10003,true,Low
35796,COSMOS 2251 DEB,CIS,LEO,DEBRIS,1993,PKMTR,130.7502125,0.0,"62.925556,0,11554,true,High
39166,NAVSTAR 68 (USA 242),US,MEO,PAYLOAD,2013,AFETR,28.25676647,91.14947619,"28.4917337,0,4281,true,High
40862,CZ-3C DEB,PRC,HEO,DEBRIS,2012,XSC,0.0,0.0,"28.246017,0,4727,false,Low
48539,SL-12 DEB,CIS,HEO,DEBRIS,2008,TTMTR,0.0,0.0,"45.965,0,5974,false,Low
49206,ONEWEB-0340,UK,LEO,PAYLOAD,2021,TTMTR,-151.8141968,-58.74088174,"45.965,0,1237,true,High
49280,ONEWEB-0347,UK,LEO,PAYLOAD,2021,VOSTO,-34.18039604,156.9912223,"51.884553,0,1207,true,High
51634,ONEWEB-0438,UK,LEO,PAYLOAD,2022,FRGUI,85.3236077,-94.10556941,"5.222222,0,1088,true,High
51789,STARLINK-3639,US,LEO,PAYLOAD,2022,AFWTR,23.50347007,62.9845702,"34.742221,0,1073,true,Moderate
5181,SL-8 R/B,CIS,LEO,ROCKET BODY,1971,PKMTR,77.29306131,-144.6792282,"62.925556,0,19639,true,High
52967,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0.0,0.0,"28.4917337,0,2300,false,Low
53093,COSMOS 2251 DEB,CIS,LEO,DEBRIS,1993,PKMTR,-1.027667928,145.8261586,"62.925556,0,11554,true,High
53223,STARLINK-4354,US,LEO,PAYLOAD,2022,AFWTR,34.33020449,131.3071355,"34.742221,0,926,true,High
54010,STARLINK-5127,US,LEO,PAYLOAD,2022,AFWTR,-80.57765731,-41.81888148,"34.742221,0,851,true,Moderate
54198,STARLINK-5246,US,LEO,PAYLOAD,2022,AFWTR,92.60330935,148.7792243,"34.742221,0,828,true,High
56413,STARLINK-6258,US,LEO,PAYLOAD,2023,AFETR,55.36119812,23.89291919,"28.4917337,0,640,true,Moderate
57329,STARLINK-6138,US,LEO,PAYLOAD,2023,AFETR,54.49633275,22.98512313,"28.4917337,0,567,true,Moderate
58639,STARLINK-31070,US,LEO,PAYLOAD,2023,AFETR,107.8044107,-41.53728907,"28.4917337,0,407,true,High
